org,drug_code,drug_name,drug_class,period,omega,term,hos_year,estimate,ci.lower,ci.upper,std.error,statistic,p.value
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,BWH_2019,2.3688821387854975,2.304377968614395,2.4333863089566,0.032910895649054354,71.97865910566806,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2007,1.8006762633930244,1.7364573559845917,1.8648951708014572,0.03276535074878074,54.95672172714437,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2008,2.0709157575133177,2.008704533110019,2.1331269819166163,0.03174100386232244,65.24417962632742,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2009,2.140704417657233,2.078643328259727,2.2027655070547394,0.03166440296201169,67.60602498096907,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2010,2.1137266281816007,2.053636391502145,2.1738168648610565,0.030658847383645695,68.94344727744472,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2011,2.0342036411666466,1.97562918693899,2.0927780953943036,0.02988547477896769,68.06663291152547,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2012,2.211023374547861,2.152549974124395,2.2694967749713273,0.029833915768196162,74.111068480822,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2013,2.095044573235451,2.038207435648535,2.1518817108223667,0.028999072449922655,72.2452270448753,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2014,2.1856451673106085,2.1288596969474045,2.2424306376738126,0.02897271113710274,75.43806159416161,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2015,2.34038971795311,2.2825550722119003,2.3982243636943195,0.029508014533635166,79.3136968021139,0
E. coli,AMC,Amoxicillin/Clavulanate,Penicillins,6,1.0471975511965976,intercept,MGH_2016,2.059319110588113,2.002195382117207,2.1164428390590184,0.029145294975565957,70.65700012007252,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,amplitude,NA,0.032839286604155186,0.018211619313830828,0.047466953894479545,0.007463232694940079,4.400142397599309,1.0826473236408939e-5
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,phase,NA,4.5184080355032235,4.115149495334615,4.921666575671832,0.20574793381381526,-36.362902051142804,4.472991681387405e-288
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2007,-0.016063630204867202,-0.034733433497529526,0.0026061730877951217,0.009525584878052534,-1.686366812171154,0.09172753971945401
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2008,-0.00541276939547098,-0.022943720302627015,0.012118181511685054,0.00894452706551648,-0.6051487525079597,0.5450812067234003
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2009,-0.007284673514926774,-0.024241920088257273,0.009672573058403727,0.008651815394102699,-0.8419820792630638,0.39979951448584305
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2010,0.0026660638691502693,-0.013845994013388582,0.01917812175168912,0.00842467413319013,0.3164589902233671,0.7516546498158648
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2011,-0.0062178201872389845,-0.022205937578615997,0.00977029720413803,0.008157352643971648,-0.7622350606399253,0.44592109009815617
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2012,0.006295679033222245,-0.009086473955803972,0.02167783202224846,0.007848181451474966,0.8021831646156768,0.42244846181991313
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2013,0.006885330858396104,-0.008885454834182918,0.022656116550975124,0.008046467086628617,0.8556961439434636,0.3921674314561846
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2014,0.009852144984816092,-0.006066306484605098,0.02577059645423728,0.008121808153100724,1.2130482275741472,0.22511355943592726
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2015,0.0067093408807425755,-0.010032250910441092,0.023450932671926245,0.00854178542220123,0.7854728899304952,0.43217777316951
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2016,0.007385513664398291,-0.008806349129086089,0.023577376457882673,0.008261306289913352,0.8939886024339323,0.3713296241077655
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2017,0.008409110257031203,-0.007589702279397457,0.024407922793459862,0.00816280945090076,1.0301735337094344,0.30293044445833167
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2018,-0.008635409481248663,-0.02358143913940345,0.006310620176906123,0.007625665459185559,-1.1324138893146445,0.25746253127468377
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,BWH_2019,-0.007064745810917663,-0.0197886046616992,0.0056591130398638756,0.006491884009678605,-1.0882427659497598,0.27648994249193043
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2007,-0.020062798833981176,-0.0329568074564099,-0.007168790211552449,0.006578696712865657,-3.0496616137882255,0.002291448478050059
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2008,-0.02739706141795457,-0.03980413747612823,-0.014989985359780909,0.0063302571659678945,-4.327953936096618,1.5061177876404189e-5
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2009,0.01096943006991715,-0.0013959663693019122,0.023334826509136215,0.006308991663497766,1.7386978228840442,0.08209026755693649
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2010,0.002682498401387794,-0.009416941521271326,0.014781938324046916,0.0061732970697920796,0.4345325311678451,0.6639024892981429
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2011,0.004179218471702747,-0.0074477968833149095,0.015806233826720403,0.005932259697999593,0.7044901411028945,0.48112883415304397
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2012,0.0066748538770316545,-0.004973597457103951,0.01832330521116726,0.005943196623007926,1.1231083708708645,0.26139352005209726
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2013,0.014465934026706104,0.0031469174410742647,0.025784950612337945,0.005775114581142715,2.5048739420584356,0.012250702924717333
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2014,3.677533497818571e-4,-0.010994228370307418,0.011729735069871131,0.005797035970921476,0.0634381693725113,0.9494176900214806
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2015,-0.007327526294127033,-0.01873973124169679,0.004084678653442725,0.005822660537432207,-1.2584498524378123,0.20823134467765064
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,slope,MGH_2016,-0.010507418533082546,-0.022010627046118128,9.957899799530375e-4,0.005869091781160995,-1.7902971916046642,0.07340844523652786
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2007,2.9920573819974763,2.853617592246373,3.1304971717485794,0.07063384370483254,42.36010990001907,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2008,2.889680956678252,2.7589374124597192,3.0204245008967847,0.06670711566631907,43.31893123865456,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2009,3.035170374075901,2.909776243615194,3.1605645045366075,0.06397777278041816,47.441013373395876,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2010,3.0959234265723126,2.9720057459513183,3.219841107193307,0.06322446820372274,48.967172275717466,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2011,3.208613469117773,3.0887941454624936,3.328432792773052,0.06113343132853391,52.48541427152247,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2012,3.16313171227915,3.048737334653085,3.2775260899052148,0.05836555086133885,54.19518304202964,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2013,3.1432337108689254,3.0269593002193704,3.2595081215184805,0.05932476900938618,52.983496832016534,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2014,3.265561336523664,3.1489139617186286,3.3822087113286994,0.059515060340463014,54.869495516641166,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2015,3.25963214792473,3.134230227577818,3.385034068271642,0.06398174728518813,50.94628212317265,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2016,3.275654840513176,3.15394324634934,3.3973664346770116,0.062098893206141176,52.74900519787742,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2017,3.1844366477528427,3.065298347663325,3.3035749478423604,0.06078596394079955,52.387696785629956,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2018,3.4128444551162773,3.2966225874326045,3.52906632279995,0.059297960881126516,57.55416213987427,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,BWH_2019,3.330874050870619,3.234951228358655,3.426796873382583,0.04894111487179928,68.0588102579152,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2007,3.0770857774218228,2.9815533181557208,3.1726182366879248,0.04874194629067162,63.13013762461768,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2008,3.094769309610359,3.0021574204967862,3.1873811987239318,0.04725183209695864,65.4952236192669,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2009,2.8952328559041796,2.8028258597732933,2.9876398520350658,0.0471472929399625,61.40825221059834,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2010,3.0001676655297835,2.9106154924143985,3.0897198386451685,0.045690723820315665,65.66251122062124,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2011,3.0285229636850417,2.9413351661767217,3.1157107611933617,0.04448438756836677,68.08058128327815,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2012,3.1885701061069387,3.101460724509949,3.2756794877039286,0.044444378715168945,71.74293348865453,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2013,3.1013598649641616,3.0168413650482604,3.185878364880063,0.04312247601617798,71.91980033337242,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2014,3.3059292340510535,3.221442777469978,3.390415690632129,0.04310612707554542,76.6927919146451,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2015,3.37469980379504,3.288650434944206,3.460749172645874,0.04390354594756851,76.86622415021444,0
E. coli,AMP,Ampicillin,Penicillins,6,1.0471975511965976,intercept,MGH_2016,3.347762489985895,3.2628344823351,3.4326904976366897,0.043331412373235484,77.25948236235446,0
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,amplitude,NA,0.04707723789866935,0.026921149434343192,0.0672333263629955,0.01028390757346299,4.5777577795573885,4.704152784228783e-6
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,phase,NA,3.1605102060164683,2.6359500906706117,3.685070321362325,0.2676376298154051,-77.86457311087732,0
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2007,0.009355338717753457,-0.008005302336457432,0.026715979771964347,0.008857632686697009,1.0561895089422635,0.29088358088296135
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2008,0.006203063674567135,-0.010165777830291252,0.02257190517942552,0.008351603210045555,0.7427392703601995,0.4576408745381817
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2009,0.0012585890606943491,-0.014575757976560296,0.017092936097948996,0.008078896940022347,0.1557872405153949,0.8762009672624924
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2010,0.005886958498974154,-0.009530878904437299,0.021304795902385605,0.007866388119896787,0.7483686806762079,0.4542391450694445
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2011,-0.008218065713919904,-0.023177682571907,0.006741551144067191,0.007632597831381927,-1.0767062401913523,0.28161349660596663
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2012,-6.624687008852347e-4,-0.01508156627089874,0.013756628869128271,0.007356817616930469,-0.09004827024128954,0.9282489934805034
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2013,0.015284084906442237,5.358898732538472e-4,0.030032279939630625,0.007524727571282062,2.0311811639232724,0.042238625166312334
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2014,0.014936818513382218,8.309384332200534e-5,0.02979054318344243,0.007578570212118437,1.9709283011586602,0.0487341687471822
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2015,0.014026198813118694,-0.0015868562563450747,0.029639253882582463,0.007965990800146103,1.7607601069362824,0.07828133588179352
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2016,0.013691958018835503,-0.0014437782270902283,0.028827694264761235,0.007722456313133553,1.7730055650233516,0.07623009631384063
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2017,0.00898671762760265,-0.005988724621867279,0.023962159877072578,0.007640672159077571,1.1761684627347737,0.23952969090888931
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2018,0.031214080503492187,0.0172294750630721,0.04519868594391227,0.007135133885484056,4.374701442813163,1.216920623797548e-5
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,BWH_2019,-0.002089784171055565,-0.01415608700815695,0.009976518666045821,0.006156390082817259,-0.33944960324854,0.7342715978007757
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2007,0.004544898156676274,-0.007672211765587188,0.016762008078939735,0.006233333887066532,0.7291279817541023,0.46592467662369697
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2008,-4.8761028028718113e-4,-0.012256569647171587,0.011281349086597224,0.006004681442983881,-0.08120502060220451,0.9352790302787062
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2009,0.02471563517927471,0.01295995701298458,0.03647131334556484,0.005997905195716566,4.12071121046153,3.7793534832452864e-5
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2010,0.01132400946019891,-1.9198835843155064e-4,0.022840007278829372,0.005875617056980222,1.9272885469528698,0.05394582912162194
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2011,-0.006250897632569317,-0.017345815377471756,0.004844020112333122,0.00566077633692136,-1.104247414228151,0.2694878451681445
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2012,0.005183331164346471,-0.0059359338736763,0.016302596202369242,0.005673198653511043,0.9136523292972648,0.3609012334287347
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2013,2.53145561537705e-4,-0.010556536714893067,0.011062827837968477,0.005515245362514908,0.045899238365393884,0.9633906308501212
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2014,0.013852287809193682,0.002997284213991999,0.024707291404395364,0.005538368909237399,2.5011493521295716,0.012380300735893657
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2015,0.005562551622705855,-0.005347578708424922,0.016472681953836634,0.0055664953117447544,0.9992915310589451,0.3176553233959657
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,slope,MGH_2016,0.0036945299241646083,-0.007281738174973303,0.014670798023302518,0.005600239690992954,0.6597092496070552,0.5094415837892099
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2007,-1.3204228507247897,-1.4486169214652274,-1.192228779984352,0.06540633998972233,-20.18799478662581,1.7127068323936558e-90
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2008,-1.1995070562006236,-1.3209957560860863,-1.0780183563151609,0.06198516954584373,-19.35151690298238,2.585585006247241e-83
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2009,-1.103127824277738,-1.2196073267202356,-0.9866483218352405,0.05942940960205035,-18.56198524711037,8.182110997512881e-77
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2010,-1.0513439196820165,-1.1663989497834453,-0.9362888895805876,0.05870262464462014,-17.909657805707123,1.2064219961037465e-71
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2011,-0.9601175493384043,-1.0715503303196865,-0.8486847683571223,0.05685450439918776,-16.887273215807344,6.520226413848982e-64
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2012,-1.0969783233460595,-1.2035013522696834,-0.9904552944224357,0.054349482829207,-20.18378586588043,1.8644770078476014e-90
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2013,-1.1670015051094969,-1.2750935530376477,-1.058909457181346,0.055150017439487185,-21.160492041366584,3.2352822068316433e-99
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2014,-1.1866495190285236,-1.2950136928929632,-1.078285345164084,0.05528885975416002,-21.46272367172915,5.201271449809373e-102
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2015,-1.034914940279835,-1.151108447920099,-0.918721432639571,0.05928349120534035,-17.45705118302156,3.632473964329389e-68
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2016,-0.9836366841912083,-1.096688149998805,-0.8705852183836116,0.057680379180093236,-17.053228466477954,3.887040208451314e-65
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2017,-0.9473897059515264,-1.058207673378715,-0.8365717385243379,0.056540818250389584,-16.75585418230127,5.965530413933592e-63
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2018,-1.0360685417613364,-1.1439312911701924,-0.9282057923524806,0.055033026249290067,-18.826305082117884,5.841262050875577e-79
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,BWH_2019,-0.8753988816244989,-0.9654379107572091,-0.7853598524917886,0.04593912431193975,-19.055628393791118,7.586030177141734e-81
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2007,-1.3706954450588649,-1.460405827978673,-1.2809850621390568,0.045771444591549686,-29.94651921717853,2.2411935664273104e-196
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2008,-1.2389836090828967,-1.325998905766598,-1.1519683123991955,0.04439637532631558,-27.907314504310435,6.870244311004944e-171
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2009,-1.3492323093504877,-1.4362049952129579,-1.2622596234880175,0.04437463471191295,-30.40548543351206,2.3462535289580804e-202
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2010,-1.1898109487289295,-1.2741870183057962,-1.1054348791520627,0.04304980614052833,-27.638009445269187,1.1761293960259444e-167
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2011,-1.0437210078672736,-1.12600523925549,-0.9614367764790572,0.041982522146970035,-24.860845763707914,4.077577040674795e-136
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2012,-1.1151022678419624,-1.1973153992306431,-1.0328891364532817,0.04194624597041952,-26.584077836866072,2.6758318566282663e-155
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2013,-1.0468231698763757,-1.1266001195581214,-0.9670462201946299,0.04070327328002768,-25.71840261284421,1.6698085182586167e-145
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2014,-1.0809358592494271,-1.1607982825664025,-1.0010734359324518,0.0407468830789341,-26.52806245708312,1.1774958250400434e-154
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2015,-1.016959146253626,-1.098188978059256,-0.9357293144479961,0.04144455329095864,-24.537823803145717,1.1615609862526675e-132
E. coli,CIP,Ciprofloxacin,Quinolones,12,0.5235987755982988,intercept,MGH_2016,-1.024082049013213,-1.1042843980333403,-0.9438796999930855,0.04092031774703687,-25.026248704712685,6.670962890495027e-138
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,amplitude,NA,0.0281508165350771,0.01977770166152325,0.036523931408630944,0.004272075884863146,6.589493560922292,4.434635014532595e-11
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,phase,NA,2.500778156145634,2.042268451575617,2.9592878607156514,0.23393782140217037,10.68992667007214,1.1720826206218689e-26
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,slope,BWH_2007,0.007411290642584563,5.584836121506022e-4,0.014264097673018523,0.0034963943646352837,2.119695283102783,0.034034156083986085
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,slope,BWH_2008,0.001338329476123334,-0.005130517553001937,0.007807176505248604,0.003300492805046782,0.40549383233827835,0.6851154004577337
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,slope,BWH_2009,0.01637971088419002,0.010118633991671592,0.022640787776708443,0.0031944856854028967,5.127495471035165,2.9415645671345145e-7
E. coli,NIT,Nitrofurantoin,Nitrofurans,12,0.5235987755982988,slope,BWH_2010,-0.002121933654801447,-0.008216722445513483,0.00397285513591059,0.00310964325813482,-0.6823720532091496,0.49500527002588124
